close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
33.37,33.45,32.91,33.0,BAC,37468264,HISTORICAL_PRICES,BAC,,2021-02-12,1622765833000,0.111222111222111,0.111222111222111,33.0,33.37,33.45,32.91,37468264,32.6993,33.0659,33.1452,32.6101,37468264,"Feb 12, 21",0.4899999999999949,0.0149
34.27,34.56,33.702,33.98,BAC,52802553,HISTORICAL_PRICES,BAC,,2021-02-16,1622765801000,0.1411921411921412,0.1411921411921412,33.98,34.27,34.56,33.702,52802553,33.6703,33.9577,34.245,33.3949,52802553,"Feb 16, 21",0.9000000000000057,0.027
34.41,34.56,33.79,34.04,BAC,46100797,HISTORICAL_PRICES,BAC,,2021-02-17,1622765801000,0.1458541458541457,0.1458541458541457,34.04,34.41,34.56,33.79,46100797,33.7298,34.0964,34.245,33.4821,46100797,"Feb 17, 21",0.1399999999999934,0.0041
34.19,34.65,34.0201,34.06,BAC,37541679,HISTORICAL_PRICES,BAC,,2021-02-18,1622765820000,0.1385281385281384,0.1385281385281384,34.06,34.19,34.65,34.0201,37541679,33.7496,33.8784,34.3342,33.7101,37541679,"Feb 18, 21",-0.2199999999999988,-0.0064
34.54,34.725,34.18,34.2,BAC,54514131,HISTORICAL_PRICES,BAC,,2021-02-19,1622765786000,0.1501831501831501,0.1501831501831501,34.2,34.54,34.725,34.18,54514131,33.8883,34.2252,34.4085,33.8685,54514131,"Feb 19, 21",0.3500000000000014,0.0102
35.15,35.25,34.41,34.45,BAC,56783366,HISTORICAL_PRICES,BAC,,2021-02-22,1622765838000,0.1704961704961704,0.1704961704961704,34.45,35.15,35.25,34.41,56783366,34.136,34.8297,34.9287,34.0964,56783366,"Feb 22, 21",0.6099999999999994,0.0177
35.52,35.89,35.14,35.42,BAC,67440696,HISTORICAL_PRICES,BAC,,2021-02-23,1622765777000,0.1828171828171828,0.1828171828171828,35.42,35.52,35.89,35.14,67440696,35.0972,35.1963,35.5629,34.8198,67440696,"Feb 23, 21",0.3700000000000045,0.0105
36.38,36.52,35.6,35.74,BAC,58139468,HISTORICAL_PRICES,BAC,,2021-02-24,1622765767000,0.2114552114552114,0.2114552114552114,35.74,36.38,36.52,35.6,58139468,35.4143,36.0485,36.1872,35.2756,58139468,"Feb 24, 21",0.8599999999999994,0.0242
35.93,37.03,35.76,36.96,BAC,74762028,HISTORICAL_PRICES,BAC,,2021-02-25,1622765779000,0.1964701964701964,0.1964701964701964,36.96,35.93,37.03,35.76,74762028,36.6232,35.6026,36.6925,35.4341,74762028,"Feb 25, 21",-0.4500000000000028,-0.0124
34.71,36.035,34.68,35.73,BAC,70933313,HISTORICAL_PRICES,BAC,,2021-02-26,1622765779000,0.1558441558441558,0.1558441558441558,35.73,34.71,36.035,34.68,70933313,35.4044,34.3937,35.7066,34.3639,70933313,"Feb 26, 21",-1.2199999999999989,-0.034
